time,open,high,low,close
2026-04-17T02:42:00-05:00,26472.5,26476,26469.5,26475.75
2026-04-17T02:43:00-05:00,26475.5,26478.25,26474,26474.75
2026-04-17T02:44:00-05:00,26475.25,26483.5,26474.5,26482.5
2026-04-17T02:45:00-05:00,26482.25,26482.75,26479.5,26479.75
2026-04-17T02:46:00-05:00,26479.75,26480,26476.25,26479.5
2026-04-17T02:47:00-05:00,26479.75,26479.75,26472.5,26476
2026-04-17T02:48:00-05:00,26476.5,26479.75,26475.75,26479
2026-04-17T02:49:00-05:00,26478.75,26481,26477.25,26480.5
2026-04-17T02:50:00-05:00,26480.5,26484.5,26478.25,26482.5
2026-04-17T02:51:00-05:00,26482,26483,26479.25,26481.5
2026-04-17T02:52:00-05:00,26481,26481.25,26477.75,26477.75
2026-04-17T02:53:00-05:00,26477.75,26480.75,26477.25,26479.75
2026-04-17T02:54:00-05:00,26480,26489.25,26480,26485.75
2026-04-17T02:55:00-05:00,26485.25,26485.25,26482.75,26484
2026-04-17T02:56:00-05:00,26484.25,26488.5,26482.5,26486
2026-04-17T02:57:00-05:00,26486,26491.75,26485.5,26489.25
2026-04-17T02:58:00-05:00,26489.5,26491.5,26487.75,26491
2026-04-17T02:59:00-05:00,26490.5,26490.5,26486.75,26489.5
2026-04-17T03:00:00-05:00,26488.75,26493,26487.5,26489
2026-04-17T03:01:00-05:00,26488.75,26491,26485,26490
2026-04-17T03:02:00-05:00,26489.5,26491.75,26487,26488.25
2026-04-17T03:03:00-05:00,26488.5,26493.5,26487.25,26493.5
2026-04-17T03:04:00-05:00,26493.25,26495,26491.75,26493.25
2026-04-17T03:05:00-05:00,26493.25,26493.75,26491.25,26493.25
2026-04-17T03:06:00-05:00,26492.75,26494.5,26489.25,26490.5
2026-04-17T03:07:00-05:00,26490.5,26493.25,26490.25,26492.25
2026-04-17T03:08:00-05:00,26492.25,26493.5,26491,26492.75
2026-04-17T03:09:00-05:00,26492.25,26493.25,26484.25,26485.5
2026-04-17T03:10:00-05:00,26485.25,26485.5,26483.5,26484.25
2026-04-17T03:11:00-05:00,26484.5,26485.25,26481,26484.5
2026-04-17T03:12:00-05:00,26485,26486.75,26482.5,26482.75
2026-04-17T03:13:00-05:00,26482.5,26482.5,26476.5,26480.75
2026-04-17T03:14:00-05:00,26481,26486.5,26481,26484.5
2026-04-17T03:15:00-05:00,26483.75,26485.75,26481,26483
2026-04-17T03:16:00-05:00,26482,26486.25,26479.75,26486
2026-04-17T03:17:00-05:00,26486.25,26489,26486,26488.5
2026-04-17T03:18:00-05:00,26488.25,26490.75,26487.25,26488
2026-04-17T03:19:00-05:00,26488,26489.25,26486.25,26489
2026-04-17T03:20:00-05:00,26489,26496.25,26488.5,26491.75
2026-04-17T03:21:00-05:00,26492.25,26492.75,26489.75,26489.75
2026-04-17T03:22:00-05:00,26490.25,26490.25,26487.5,26489.25
2026-04-17T03:23:00-05:00,26489,26490.5,26485.25,26489.75
2026-04-17T03:24:00-05:00,26490,26491.75,26488.5,26491
2026-04-17T03:25:00-05:00,26491,26493.25,26489.75,26491.25
2026-04-17T03:26:00-05:00,26490.75,26493,26488.5,26490.5
2026-04-17T03:27:00-05:00,26490,26492.5,26489.5,26492.25
2026-04-17T03:28:00-05:00,26492.5,26497.75,26491.75,26496.75
2026-04-17T03:29:00-05:00,26497.25,26501,26496.75,26497
2026-04-17T03:30:00-05:00,26497.75,26502,26497.25,26499.75
2026-04-17T03:31:00-05:00,26499.75,26501,26497,26498.25
2026-04-17T03:32:00-05:00,26498.25,26499.25,26495.75,26499
2026-04-17T03:33:00-05:00,26498.75,26500.75,26497,26498.5
2026-04-17T03:34:00-05:00,26498.25,26499.5,26497,26499.5
2026-04-17T03:35:00-05:00,26500,26501.5,26498,26499
2026-04-17T03:36:00-05:00,26499,26499,26492.25,26492.75
2026-04-17T03:37:00-05:00,26493.5,26495,26491.5,26491.5
2026-04-17T03:38:00-05:00,26491.25,26493.25,26491,26492.75
2026-04-17T03:39:00-05:00,26492.75,26495.5,26491.5,26495.5
